"","Brand_Description","Price","Review_Count","Rating"
"22"," Fun CostumesBack to the Future 2 Adult Light Up Shoes Universal Studios Officially Licensed  4.0 out of 5 stars 461  $153.99$153.99$6.59 delivery Mar 1 - 4 Or fastest delivery Wed, Feb 28 ","153.","461","4.0 out of 5 stars"
"23"," JordanToddler 1 Low OG SP (TD) DO5441 162 Travis Scott - Reverse Mocha - Size 9C  $405.00$405.00FREE delivery Feb 29 - Mar 1 ","405.","",""
"24"," Jordanunisex-child Modern  $450.00$450.00FREE delivery Feb 29 - Mar 1 ","450.","",""
"25"," +114NikeBoy's Sneaker  4.6 out of 5 stars 2,391  $177.00$177.00 Typical: $189.00$189.00FREE delivery Feb 29 - Mar 1 Prime Try Before You Buy","177.","2,391","4.6 out of 5 stars"
"26"," +78NikeMen's Gymnastics Shoes  4.6 out of 5 stars 8,903  100+ bought in past month$114.99$114.99 List: $150.00$150.00FREE delivery Thu, Feb 29 Prime Try Before You Buy","114.","8,903","4.6 out of 5 stars"
"27"," NikeYouth Air 6 Retro Gs Cactus Jack - Travis Scott Cn1085 200 Size  5.0 out of 5 stars 1  $490.00$490.00FREE delivery Feb 29 - Mar 1 ","490.","1","5.0 out of 5 stars"
"28"," +9Jordanmens Sneaker  4.2 out of 5 stars 92  No featured offers available$1,590.00(2 new offers)","","92","4.2 out of 5 stars"
"29"," JordanMens Air Jordan 1 Low OG TS DM7866 001 Travis Scott - Black Phantom - Size 10  5.0 out of 5 stars 1  No featured offers available$840.00(2 new offers)","","1","5.0 out of 5 stars"
"30"," AIR JORDANMens Air 1 Low CQ4277 001 Travis Scott - Size  No featured offers available$2,000.00(2 new offers)","","No featured offers available",""
"31"," +32Nikemens Air Force 1 '07 LV8  4.6 out of 5 stars 1,045  Prime Try Before You BuyNo featured offers available$300.00(4 new offers)","","1,045","4.6 out of 5 stars"
"32"," NikeDunk Low SE Men's Sail Multi Camo DH0957-100  3.7 out of 5 stars 7  No featured offers available$499.99(1 new offer)","","7","3.7 out of 5 stars"
"33"," NikeMens Dunk Low CT0856 700 Off-White - University Gold - Size  3.3 out of 5 stars 4  $990.00$990.00FREE delivery Feb 29 - Mar 1 ","990.","4","3.3 out of 5 stars"
"34"," JordanPreschool Air Jordan 1 Low OG PS DO5442 001""Travis Scott - Black Phantom - Size 12C  No featured offers available$230.00(1 new offer)","","No featured offers available",""
"35"," AIR JORDAN1 High Og Ts Sp 'Travis Scott' - Cd4487-100 - Size 8.5  3.7 out of 5 stars 4  No featured offers available$2,420.66(1 new offer)","","4","3.7 out of 5 stars"
"36"," AIR JORDANJordan Mens Air 1 Low CQ4277 001 Travis Scott - Size 8.5  No featured offers available$1,850.00(2 new offers)","","No featured offers available",""
"37"," JordanMens Air 1 High OG SP DH3227 105 Travis Scott x Fragment - Size 9  $4,149.00$4,149.00FREE delivery Feb 29 - Mar 1 ","4,149.","",""
"38"," +65Nikemens Air Jordan 1 Low  4.6 out of 5 stars 991  Prime Try Before You BuyNo featured offers available$401.00(1 new offer)","","991","4.6 out of 5 stars"
"39"," +2adidasMen's Leisure and Sports Track and Field Shoe  4.4 out of 5 stars 11  $489.00$489.00FREE delivery Feb 29 - Mar 1 Prime Try Before You Buy","489.","11","4.4 out of 5 stars"
"40"," JordanMens Air 1 Low OG TS DM7866 001 Travis Scott - Black Phantom - Size 7.5  No featured offers available$735.00(1 new offer)","","No featured offers available",""
"41"," NikeJordan Mens Air 1 High OG SP DH3227 105 Travis Scott x Fragment - Size 13  $2,140.00$2,140.00FREE delivery Feb 29 - Mar 1 ","2,140.","",""
"42"," +18NikeAir Jordan 4 Retro (Big Kid)  4.4 out of 5 stars 497  $281.11$281.11 FREE delivery Mon, Mar 4 ","281.","497","4.4 out of 5 stars"
"43"," +9JordanAir Jordan 1 Low Grade School  4.6 out of 5 stars 78  $218.99$218.99 List: $229.99$229.99FREE delivery Mon, Mar 4 Or fastest delivery Feb 28 - 29 ","218.","78","4.6 out of 5 stars"
"44"," NikeAir 1 Low (Black/Sail-Dark Mocha/Universi  No featured offers available$3,000.00(2 new offers)","","No featured offers available",""
"45"," +30Nikemens Air More Uptempo '96  4.6 out of 5 stars 1,241  $144.00$144.00 FREE delivery Sat, Mar 2 Or fastest delivery Fri, Mar 1 ","144.","1,241","4.6 out of 5 stars"
"46"," GFL GraphicsTravis Scott - Cactus Jack Decal Vinyl Bumper Sticker 5""  4.1 out of 5 stars 92  50+ bought in past month$4.95$4.95FREE delivery Mar 5 - 7 Or fastest delivery Mar 1 - 4 ","4.","92","4.1 out of 5 stars"
"47"," +3 colors/patternsGenericMini Shoes Keychain Pair or Single With or Without The Box, Mini Kicks, Mini Sneaks, Black & Gray Mini Kicks Shoes Keychains  $9.00$9.00$5.08 delivery Mar 1 - 4 ","9.","",""
"48"," NikeMens Blazer Low DM6443 100  3.2 out of 5 stars 6  $149.00$149.00 FREE delivery Mon, Mar 4 ","149.","6","3.2 out of 5 stars"
